x[m],y[m],z[m],pump_fraction,gi[rad/s],u_norm
-4.173117898645268826e-04,7.285767673735102064e-04,-6.131856343657765204e-04,1.646657906352593237e-01,6.492839569993609330e+05,9.870990417641195558e-01
-1.339134756480603334e-05,2.663303791505003361e-04,2.775641110806959118e-04,1.171422950734184315e-01,6.563138733947327128e+05,9.977865439929173297e-01
8.225008536502036822e-04,-1.519946881214155566e-04,-2.202322049591515945e-04,1.646657906352593237e-01,6.513794732713778503e+05,9.902848314048622314e-01
-5.235096645057037363e-04,8.214720489464673878e-04,-4.156289080178249642e-04,1.562238908362101608e-01,6.522982465164602036e+05,9.916816319572901994e-01
6.317675681327586465e-06,-1.640522233699973379e-03,8.046503974025877954e-04,8.523887999522831993e-02,6.455792270745161222e+05,9.814667828435240660e-01
-6.146755252682393512e-04,8.130650435185411695e-04,9.348963178385052454e-04,1.562238908362101608e-01,6.383445232956029940e+05,9.704679446762976003e-01
-1.095039192692365498e-04,2.702546333225162205e-04,2.118405353246693090e-04,1.171422950734184315e-01,6.568252752296862891e+05,9.985640224070952975e-01
1.795993164009069523e-04,-7.931932915738878435e-04,-3.179594983012771765e-04,1.646657906352593237e-01,6.556004009950438049e+05,9.967018599891529496e-01
-6.921453341387352569e-04,3.031647882596836814e-04,3.600595022258140264e-04,1.171422950734184315e-01,6.514535786030942108e+05,9.903974929008659833e-01
-2.371753762204374314e-04,-2.128605071609209170e-04,5.806209014293757043e-04,1.171422950734184315e-01,6.509611316660264274e+05,9.896488314031358646e-01
-1.653288215968208910e-04,1.809706407645184437e-03,4.414353770939841897e-04,8.523887999522831993e-02,6.538724245020290837e+05,9.940748369092535786e-01
-4.463585087390108770e-04,1.284732906005377293e-03,-1.017355044759752063e-03,1.562238908362101608e-01,6.367506661339517450e+05,9.680448216959519625e-01
-8.313286004696990219e-04,3.084829106905767203e-04,-2.366124441493594932e-04,1.646657906352593237e-01,6.511214398335992591e+05,9.898925460935918963e-01
-9.948520591128886918e-04,-5.034776889986740910e-04,2.513933322556631783e-04,1.562238908362101608e-01,6.485758928019722225e+05,9.860225797890231902e-01
-1.074466369738643885e-04,-4.083902162053052983e-04,4.355542901275530560e-04,1.171422950734184315e-01,6.540970386615286116e+05,9.944163152704829090e-01
-1.883398721512094477e-04,-2.275347398672502501e-04,6.725473613902596334e-04,1.171422950734184315e-01,6.489615792695214041e+05,9.866089345548156864e-01
1.561956752220623008e-03,-3.921641543664578975e-04,5.308592430167387386e-04,8.523887999522831993e-02,6.329149156802255893e+05,9.622133737500987438e-01
